filepath,xmin,xmax,ymin,ymax
../car-plate/images\N1.xml,1093,1396,645,727
../car-plate/images\N100.xml,134,301,312,350
../car-plate/images\N101.xml,31,139,128,161
../car-plate/images\N102.xml,164,316,216,243
../car-plate/images\N103.xml,813,1067,665,724
../car-plate/images\N104.xml,66,154,166,197
../car-plate/images\N105.xml,360,434,174,195
../car-plate/images\N106.xml,137,262,249,290
../car-plate/images\N107.xml,207,356,174,287
../car-plate/images\N108.xml,184,342,220,257
../car-plate/images\N109.xml,148,239,250,320
../car-plate/images\N11.xml,131,187,130,144
../car-plate/images\N110.xml,183,249,211,227
../car-plate/images\N111.xml,80,239,364,402
../car-plate/images\N112.xml,179,347,256,290
../car-plate/images\N113.xml,39,108,129,157
../car-plate/images\N114.xml,15,200,33,126
../car-plate/images\N116.xml,157,316,226,278
../car-plate/images\N117.xml,120,249,161,202
../car-plate/images\N118.xml,532,852,636,706
../car-plate/images\N119.xml,180,559,216,314
../car-plate/images\N12.xml,976,1284,669,754
../car-plate/images\N120.xml,647,736,332,387
../car-plate/images\N121.xml,311,506,324,370
../car-plate/images\N122.xml,342,494,243,288
../car-plate/images\N123.xml,11,246,78,165
../car-plate/images\N124.xml,165,328,276,324
../car-plate/images\N126.xml,149,399,269,327
../car-plate/images\N127.xml,24,142,209,245
../car-plate/images\N128.xml,58,221,198,271
../car-plate/images\N129.xml,301,504,351,402
../car-plate/images\N130.xml,419,513,173,213
../car-plate/images\N131.xml,198,349,107,143
../car-plate/images\N132.xml,111,320,133,286
../car-plate/images\N133.xml,795,1095,751,840
../car-plate/images\N134.xml,230,365,188,219
../car-plate/images\N135.xml,157,341,197,247
../car-plate/images\N136.xml,787,910,473,513
../car-plate/images\N137.xml,401,593,456,493
../car-plate/images\N138.xml,36,465,64,168
../car-plate/images\N139.xml,341,607,954,1011
../car-plate/images\N14.xml,1058,1351,660,756
../car-plate/images\N140.xml,346,423,197,221
../car-plate/images\N141.xml,150,348,255,296
../car-plate/images\N142.xml,66,174,234,259
../car-plate/images\N143.xml,115,524,144,296
../car-plate/images\N144.xml,39,177,201,275
../car-plate/images\N145.xml,233,432,88,151
../car-plate/images\N147.xml,424,613,548,591
../car-plate/images\N148.xml,244,369,240,293
../car-plate/images\N149.xml,186,324,116,148
../car-plate/images\N15.xml,582,853,622,691
../car-plate/images\N150.xml,172,372,97,143
../car-plate/images\N151.xml,144,277,216,252
../car-plate/images\N152.xml,265,725,247,347
